127.0.0.1 - - [27/Nov/2018:11:24:58 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:25:00 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 200 5120
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:25:01 +0530] "GET /Frontend_Collab/assets/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:25:01 +0530] "GET /Frontend_Collab/assets/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:25:01 +0530] "GET /Frontend_Collab/assets/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:25:01 +0530] "GET /Frontend_Collab/resources/css/notification.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:25:01 +0530] "GET /Frontend_Collab/assets/img/backgrounds/logo1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:25:01 +0530] "GET null HTTP/1.1" 400 2319
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:25:02 +0530] "GET /Frontend_Collab/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:25:03 +0530] "GET /Frontend_Collab/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:25:03 +0530] "GET /Frontend_Collab/controllers/blogcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:25:03 +0530] "GET /Frontend_Collab/services/blogservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:25:03 +0530] "GET /Frontend_Collab/controllers/blogindetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:25:03 +0530] "GET /Frontend_Collab/services/notificationservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:25:03 +0530] "GET /Frontend_Collab/controllers/notificationcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:25:03 +0530] "GET /Frontend_Collab/services/friendservice.js HTTP/1.1" 304 -
